date,fixed_on,adaptive_on,fixed_false_off,adaptive_false_off,observations
2015-02-02,281,223,0,0,581
2015-02-03,720,634,0,0,1440
2015-02-04,293,213,0,0,1013
2015-02-05,720,607,0,0,1440
2015-02-06,720,624,0,0,1440
2015-02-07,0,0,0,0,1440
2015-02-08,0,0,0,0,1440
2015-02-09,720,558,0,0,1440
2015-02-10,154,56,0,0,574
2015-02-11,252,227,0,0,552
2015-02-12,720,300,0,0,1440
2015-02-13,720,532,0,0,1440
2015-02-14,0,0,0,0,1440
2015-02-15,0,0,0,0,1440
2015-02-16,720,572,0,0,1440
2015-02-17,720,559,0,0,1440
2015-02-18,140,9,0,0,560
