source_id,case_id,source_type,title,publisher_or_custodian,url,identifier,version_or_date,accessed_utc,retrieval_conditions,raw_path,file_size_bytes,sha256,license_or_terms,completeness,notes
SEL-BE03-UCI-META,BE03,dataset_metadata,UCI Occupancy Detection dataset metadata,UCI Machine Learning Repository,https://archive.ics.uci.edu/api/dataset?id=357,UCI dataset 357; DOI 10.24432/C5X01N,last updated 2024-04-13,2026-09-24T09:49:46Z,Public HTTP API,data/raw/case_selection/BE03_uci_occupancy_metadata_2026-09-24.json,3268,3615bf0faa2a7f63b8f3a24dbb26fd2b3974802c6be0a50d3bf592548ecb160a,UCI repository terms; dataset page states CC BY 4.0,complete_requested_resource,Selection evidence and data documentation; existing_snapshot_not_overwritten
SEL-BE03-UCI-DATA,BE03,observational_dataset,Occupancy Detection data,UCI Machine Learning Repository,https://archive.ics.uci.edu/static/public/357/data.csv,UCI dataset 357; DOI 10.24432/C5X01N,repository file accessed 2026-09-24,2026-09-24T09:49:46Z,Public HTTP download,data/raw/case_selection/BE03_uci_occupancy_data_2026-09-24.csv,1434328,3648f2aa7026c24b1fcf69f463a696898a37949046aabf2db4e263e2769b9530,CC BY 4.0 per UCI metadata,complete_requested_resource,Observed office environmental and occupancy time series; existing_snapshot_not_overwritten
SEL-BE03-UCI-PAPER,BE03,bibliographic_metadata,Crossref metadata: Accurate occupancy detection of an office room,Crossref,https://api.crossref.org/works/10.1016%2Fj.enbuild.2015.11.071,10.1016/j.enbuild.2015.11.071,2016 article; API response accessed 2026-09-24,2026-09-24T09:53:49Z,Crossref REST API exact DOI lookup,data/raw/case_selection/BE03_occupancy_paper_crossref_2026-09-24.json,13456,b1f62383e89cf14993c2457fc4ed2c09faf1c5161b040982ddecd16b6cb190d9,Crossref metadata API terms,complete_requested_resource,Exact metadata for the paper associated with the UCI dataset; downloaded
SEL-BE03-DOE-SCHEDULES,BE03,government_model_assumptions,DOE Commercial Building Energy Asset Score assumptions,United States Department of Energy,https://buildingenergyscore.energy.gov/resources/download?key=documents%2Fenergy_asset_score_assumptions.pdf,Energy Asset Score assumptions document,file last modified 2023-09-07,2026-09-24T09:53:49Z,Public HTTP download,data/raw/case_selection/BE03_doe_asset_score_schedules_2023.pdf,484630,ffcd5b637bb8b7a787bdbf3bc19362abbb0805be5c4547b90e1c93b8574d9fa5,United States government publication,complete_requested_resource,Formal office occupancy and lighting schedule assumptions; downloaded
SEL-WK07-NASA-DATA,WK07,simulation_dataset,C-MAPSS turbofan engine degradation simulation data,NASA Prognostics Center of Excellence,https://data.nasa.gov/docs/legacy/CMAPSSData.zip,NASA C-MAPSS legacy dataset,legacy archive accessed 2026-09-24,2026-09-24T09:49:46Z,Public HTTP download,data/raw/case_selection/WK07_CMAPSSData_2026-09-24.zip,12425978,74bef434a34db25c7bf72e668ea4cd52afe5f2cf8e44367c55a82bfd91a5a34f,NASA open-data terms,complete_requested_resource,Simulated run-to-failure data; must not be described as observed equipment data; existing_snapshot_not_overwritten
SEL-WK07-NASA-PAPER,WK07,method_documentation,Review and Analysis of Algorithmic Approaches Developed for Prognostics on CMAPSS Dataset,NASA Technical Reports Server,https://ntrs.nasa.gov/api/citations/20150007677/downloads/20150007677.pdf,NASA NTRS 20150007677,2015,2026-09-24T09:49:46Z,Public HTTP download,data/raw/case_selection/WK07_nasa_cmapss_review_2015.pdf,177310,5b42232526e3f3ffb7167a712f609c5ebc49b58d58d4536929ec18ffbc466c74,NASA technical report terms,complete_requested_resource,Dataset scope and prognostics context; existing_snapshot_not_overwritten
SEL-WK07-NASA-PBM,WK07,method_documentation,Developing Deep Learning Models for System Prognostics,NASA Technical Reports Server,https://ntrs.nasa.gov/api/citations/20220009583/downloads/Darrah_PHM_2022.pdf,NASA NTRS 20220009583,2022,2026-09-24T09:53:49Z,Public HTTP download,data/raw/case_selection/WK07_nasa_prognostics_maintenance_2022.pdf,476266,ab4da4fcc6bb0a543644f6e1c29acbb7777ebac941aa9266e0af70dcab4a2998,NASA technical report terms,complete_requested_resource,Defines condition-based and prognostics-based maintenance relative to time-based practice; downloaded
SEL-UI01-OPSD-DATA,UI01,observational_dataset,"Open Power System Data time series, 60-minute single-index format",Open Power System Data,https://data.open-power-system-data.org/time_series/2020-10-06/time_series_60min_singleindex.csv,OPSD time_series 2020-10-06,2020-10-06,2026-09-24T09:49:46Z,Public HTTP download; full 60-minute file,data/raw/case_selection/UI01_opsd_time_series_60min_2020-10-06.csv,130339665,6a7f2bc571314cbf9c321cc03437691cd4be95c3a6f075e60ff99e8035c704c8,Open Power System Data package terms; source licenses documented by column,complete_requested_resource,"Observed European load, generation, and price series through mid-2020; existing_snapshot_not_overwritten"
SEL-UI01-DOE-RATES,UI01,government_report,"Customer Acceptance, Retention, and Response to Time-Based Rates",United States Department of Energy,https://www.energy.gov/sites/prod/files/2016/12/f34/CBS_Final_Program_Impact_Report_Draft_20161101_0.pdf,DOE Consumer Behavior Studies final program impact report,2016,2026-09-24T09:49:46Z,Public HTTP download,data/raw/case_selection/UI01_doe_time_based_rates_2016.pdf,1658409,6abbf75f3c097d8258c1a25efb40996d4670bf7aa95cc06fd23c0ac060e7bc5f,United States government publication,complete_requested_resource,Documents AMI-enabled time-based pricing and randomized utility studies; existing_snapshot_not_overwritten
SEL-UI09-FAO56,UI09,technical_guideline,"Crop evapotranspiration: Guidelines for computing crop water requirements, revised edition",Food and Agriculture Organization of the United Nations,https://openknowledge.fao.org/server/api/core/bitstreams/adb9d711-428b-42da-a47f-db6f8b804848/content,FAO Irrigation and Drainage Paper 56 Rev.1; ISBN 978-92-5-140060-9,2025 revised edition,2026-09-24T09:49:46Z,Public FAO repository download,data/raw/case_selection/UI09_fao56_rev1_2025.pdf,22364666,85c5657fa6b8519e2111ea8cdb1b39cbe440bd710a9cd154aed7dd57edc5e64d,FAO Open Knowledge Repository terms,complete_requested_resource,Current crop-water-requirement and irrigation-scheduling methods; existing_snapshot_not_overwritten
